geometry,amenity
POINT (-87.6096584 41.8914114),restaurant
POINT (-87.6256688 41.8819751),restaurant
POINT (-87.6332051 41.9208448),cafe
POINT (-87.6535647 41.9291497),restaurant
POINT (-87.6761596 41.9616382),cafe
POINT (-87.6766491 41.9616342),restaurant
POINT (-87.6348879 41.9113009),cafe
POINT (-87.638378 41.9127223),restaurant
POINT (-87.653374 41.9285344),cafe
POINT (-87.6789343 41.9547023),cafe
POINT (-87.6584501 41.9288055),cafe
POINT (-87.6776669 41.9103567),cafe
POINT (-87.6825384 41.8725818),
POINT (-87.6207468 41.8564712),
POINT (-87.6260919 41.8686597),restaurant
POINT (-87.6284801 41.8793454),restaurant
POINT (-87.6611679 42.0019761),bar
POINT (-87.6590892 41.9501029),bar
POINT (-87.6481922 41.9371493),cafe
POINT (-87.6560144 41.946303),bar
POINT (-87.6295395 41.8800215),cafe
POINT (-87.6603561 41.9251064),cafe
POINT (-87.6896363 42.0192038),restaurant
POINT (-87.6593672 41.9217489),restaurant
POINT (-87.658493 41.9217713),restaurant
POINT (-87.6567394 41.9215281),restaurant
POINT (-87.6647779 41.9217238),restaurant
POINT (-87.6625902 41.9250697),restaurant
POINT (-87.6592042 41.9251336),restaurant
POINT (-87.6460993 41.9233904),bar
POINT (-87.6529693 41.9216452),bar
POINT (-87.6525244 41.9216551),restaurant
POINT (-87.6488467 41.9216973),bar
POINT (-87.6472956 41.8841895),bar
POINT (-87.6476069 41.8846406),restaurant
POINT (-87.6632892 41.9359674),restaurant
POINT (-87.6556831 41.940004),restaurant
POINT (-87.6815509 41.9980101),restaurant
POINT (-87.6444705 41.9377792),restaurant
POINT (-87.6491097 41.9401147),restaurant
POINT (-87.6449641 41.9437924),restaurant
POINT (-87.6462733 41.8528159),bar
POINT (-87.6464453 41.858146),cafe
POINT (-87.6606769 41.8586987),cafe
POINT (-87.688747 41.9775729),restaurant
POINT (-87.7100792 41.9758519),cafe
POINT (-87.7109515 41.9758657),restaurant
POINT (-87.6818666 41.8993137),bar
POINT (-87.6263496 41.8955398),restaurant
POINT (-87.6497575 41.9492876),restaurant
POINT (-87.6469665 41.9471033),restaurant
POINT (-87.6441233 41.9409507),restaurant
POINT (-87.6446812 41.942036),cafe
POINT (-87.6446598 41.9423073),restaurant
POINT (-87.6662451 42.0073549),bar
