app_temp,azimuth,clouds,datetime,dewpt,dhi,dni,elev_angle,ghi,h_angle,pod,precip,pres,revision_status,rh,slp,snow,solar_rad,temp,timestamp_local,timestamp_utc,ts,uv,vis,weather,wind_dir,wind_gust_spd,wind_spd,date
-5.7,4.5,87,2024-01-01:06,-1.5,0,0,-71.1,0,,n,0.0,997,final,85,1021,0.0,0,0.7,2024-01-01 00:00:00,2024-01-01T06:00:00,1704088800,0.0,16,"{'description': 'Overcast clouds', 'code': 804, 'icon': 'c04n'}",320,12.4,8.8,2024-01-01
-4.9,41.5,100,2024-01-01:07,-1.1,0,0,-66.6,0,,n,0.0,997,final,88,1021,0.0,0,0.7,2024-01-01 01:00:00,2024-01-01T07:00:00,1704092400,0.0,16,"{'description': 'Overcast clouds', 'code': 804, 'icon': 'c04n'}",330,10.5,6.7,2024-01-01
-4.3,64.3,87,2024-01-01:08,-0.3,0,0,-57.7,0,,n,0.0,998,final,88,1022,0.0,0,1.5,2024-01-01 02:00:00,2024-01-01T08:00:00,1704096000,0.0,10,"{'description': 'Overcast clouds', 'code': 804, 'icon': 'c04n'}",340,10.8,7.7,2024-01-01
-5.2,78.9,100,2024-01-01:09,-0.5,0,0,-47.1,0,,n,0.0,999,final,89,1023,0.0,0,1.1,2024-01-01 03:00:00,2024-01-01T09:00:00,1704099600,0.0,10,"{'description': 'Overcast clouds', 'code': 804, 'icon': 'c04n'}",330,10.6,8.8,2024-01-01
-4.8,89.9,87,2024-01-01:10,-0.7,0,0,-36.0,0,,n,0.0,1000,final,89,1023,0.0,0,0.9,2024-01-01 04:00:00,2024-01-01T10:00:00,1704103200,0.0,10,"{'description': 'Overcast clouds', 'code': 804, 'icon': 'c04n'}",330,9.6,7.2,2024-01-01
-3.6,99.4,100,2024-01-01:11,-1.6,0,0,-24.9,0,,n,0.0,1000,final,85,1024,0.0,0,0.6,2024-01-01 05:00:00,2024-01-01T11:00:00,1704106800,0.0,10,"{'description': 'Overcast clouds', 'code': 804, 'icon': 'c04n'}",320,9.9,4.09,2024-01-01
-4.1,108.5,85,2024-01-01:12,-2.9,0,0,-14.0,0,,n,0.0,1001,final,78,1025,0.0,0,0.5,2024-01-01 06:00:00,2024-01-01T12:00:00,1704110400,0.0,16,"{'description': 'Overcast clouds', 'code': 804, 'icon': 'c04n'}",320,8.0,4.59,2024-01-01
-5.0,117.9,65,2024-01-01:13,-3.9,0,0,-3.8,0,,n,0.0,1002,final,75,1025,0.0,0,0.0,2024-01-01 07:00:00,2024-01-01T13:00:00,1704114000,0.0,16,"{'description': 'Broken clouds', 'code': 803, 'icon': 'c03n'}",330,7.8,5.09,2024-01-01
-5.3,128.0,85,2024-01-01:14,-4.4,39,335,5.6,62,,d,0.0,1002,final,74,1026,0.0,69,-0.3,2024-01-01 08:00:00,2024-01-01T14:00:00,1704117600,1.0,16,"{'description': 'Overcast clouds', 'code': 804, 'icon': 'c04d'}",320,7.2,5.09,2024-01-01
-5.6,139.3,45,2024-01-01:15,-4.7,65,587,13.7,196,,d,0.0,1002,final,73,1026,0.0,184,-0.5,2024-01-01 09:00:00,2024-01-01T15:00:00,1704121200,1.2,16,"{'description': 'Broken clouds', 'code': 803, 'icon': 'c03d'}",320,7.2,5.09,2024-01-01
